tweet	topic	sentiment
#covid19 #covid19confirmed #omicron europeaustria 1belgium 1czech republic 1denmark 2england 3germany 3israel 1italy 1netherlands 14portugal 13scotland 6#gettested #getvaccinated #getvaccinatednow	p	0
359 pm temp 42cmax 60cmin 29cdewpoint 20cavg wind speed 83kmhnnemax gust 629 kmhrain midnight 00mmrain month 146 mmplease research public health advice help stop covid19	o	0
looool variant vaccinated folk	a	1
lifes wonderful actually ignore discrimination agree vaccine create antibody response person getting vax neighbour partner else luck boosters msm uk	a	1
coronavirus variant omicron spreading australia detects reuters australia	o	0
pre covid 2019 oh time machine #llanelli #bikers #foryourpage #fyp #foryoupage #summer	o	-1
#drlimengyan #yanreport#originofcovid19 #covid19 #ccp #ccpvirus #omicron #holdccpaccountable #china #wuhan #wiv #amms #sarscov2 #gainoffunction#deltavariant #zc45 #zxc21# ##unrestrictedbioweapon#ccpvirus daily tracking	g	0
independent retailers look business saturday recoup sales pandemic	m	1
denialwas wuhan china origin entire #covid outbreakor politically incorrect dare	g	-1
dont helpful theyre risk omicron variant theyre risk covid simple thats itll	s	-1
positive covid primary school doesnt moving classes maths english	m	1
sorry hear friend bullish covid plays ahpi helps breathe nls 30 percent short home gym #bowflex smed removal ppe needles wtrh food delivery 150 million market cap 20 percent short bought 12 million shares	o	0
tf stalking guy hard ive trying stalk covid havent gotten luckits vanished earth	o	-1
soon appalling immediate report covid misinformation report tweet function doesnt cut fume	o	-1
reality govs abandoned elimination strategy #covid19 aus eventually catch covid simply bc people move allowing covid spread false narrative unvaccinated blame	g	-1
straight im double vaccinated self isolate contact strain answer flavour covid people #kissmyvariant #imsooverthis	m	-1
daughters teacher scared covid told class couldnt wait vaccinate 10 yr yell students pulled masks 2 shots booster called bc covid um hello home	a	0
truly hope helps youre super familiar apps please feel free dm familiar versions past months kinda mucky covid please feel free dm questions	o	1
tribute dear friend justin clifford whom passed 112621 battle #covid #rip	o	-1
im definitely taking shit ill dead jab touches guaranteed	a	-1
understand intention promote vaccination adjustments continuing piece cake	ov	0
practical terms enforce vaccine mandate cant enforce laws agree	m	0
haha cancer removed 31120 personally dont care anymore except wife opposite unfortunately question folks move forward lives depressing covid anytime soonneed2move forward	o	-1
yes covid vaccine probably wont deep throated air tube	p	1
tea elixir life eisai kissa yojoki#teaquote #lifequote #15percentoff #thanksgivingday #greentea #herbaltea #unitedstates #wordwide #amazon #superstore #nearby #alvitatea #alvitablog #organictea #covid19 #healthbenefits #teaquotesorder	o	0
variant # b11259 possibly 500 infectious #beta #delta #omicron 2 times bad peak mutations #delta	s	-1
dont follow ive vaccinated hope encounter	p	1
yourself staring own feet anymore #nowayhome #ballondor #omicronvariant #lisa #spidermannowwayhome #omicron #nzvsind #covidiots #cybermonday #turbulence #indvsnztestseries #porshasfamilymatters #jungkook #texasabortionban	o	0
air israel close borders foreigners due omicron variant	g	0
3 covid 19 check jabba shopping #shorts via #covid19facts #coronavirusfacts	s	0
glad purpose built #lnp quarantine facilities situations makes easier statesterritories protect citizens minimise disruption freedom #sneakyscott promised #lnpfail #morrisonfail #omicron	m	1
saskatchewan health officials reported deaths related covid19 sundaythere deaths reported saskatoon single deaths north west zone central east	o	-1
99 survival rate funny 1 antivaxers covid mess ok funeral actually wont	p	-1
buy bribe redhead time wifes backbut cant buy historycovid19 republican catastropheas trump downplayed severity calling harmless republicans laughing variant	g	-1
funny dare fake story matter obviously vaccine affected brain ability	a	-1
omicron variant	o	0
hse forgotten people janssen shot 5 months receiving ithse recommend booster dose 3 months receiving janssen facilitating black white #twin	ov	0
yes vaccinated youre catching virus spread chance mutate mutate vaccinated	a	0
#doge season coming 1000x moon #dartinu cmc gecko cex listing soon low mc lock 1 strong roadmap #dart play earn 1 day #bsc 0x49152dd96be5a710facf9a8ab7de4343a49186d5#meta #dogecoin #omicron #floki #babydoge #mana #shib #bscgems #nfts	o	0
severe pandemic recent historymany power power care actions hypocritical dc voters mindless dronespelosi glass water win district	g	-1
vast pacific countries low vaccination rates position failures logistics combating hesitancy australia help difficult lack doses sitting freezers port moresby	m	-1
omicron prime ring	o	1
dutch 61 covid south africa passengers testing variant reuters weak covid19 61 people didnt infected africa 20 vaccinated compared europe #variant	o	0
restricted flights germany belgium czech republic friend #covidvariant #covid19	g	0
travel firms scramble rearrange holidays amid covid measures coronavirus	m	0
covid variant sends dow biggest drop 2021 eurojournal	o	0
experts pick ahead michigan yes people arent afraid virus crowded mall maybe 30 40 mask wearers pandemic folks propaganda similar flu	o	0
dont care people endanger calling postpandemic articles money investors happy predicting sales	o	-1
mother law rn hit severe covid sister law rn day pushing supplements moving survived sil covid icu nurse hospital died	o	1
fg directs civil servants resume covid vaccination	m	0
kids born time covid19 thats wild	o	0
stupid omicron variant arrive america stfu	o	-1
id honestly bet vaers accuracy lot actual rate covid caused deaths covid associated deaths totalstill doesnt mean vax deaths incentives accuracy line former imo	g	0
wa havent heard info local government medical providers treatment vax mention checking oxygen home sick covid tell people er theyre trouble breathing	m	0
andreas noack tem able answer question	o	0
panic faith vaccine immunity natural immunity people wont allow omicron infect virulently covid variant shuts borders globe times india	p	1
vaccine reduces infection rate 5x makes harder contract disease vaccine reduces infectious period 3 4 days makes harder transmit disease vaccine reduces hospitalization death 1120x	p	1
lol crap pandemic	o	-1
whos squeezed #msp #tomatoes #farmersprotest #loot #inflation #vegetables #india #bjp #governance #finance #demonetization #covid19 #pandemic #cartoon #headlines #newspapers #sellers #bazaar #market #ketchup #sauce #red #humour #haha	o	0
24 billion fraud settlement pfizer2009 doctors thats usually goes conferences exotic cut rewards	s	-1
omicronmoronic	o	1
omicron anagram moronic	o	1
wetin omicron	o	0
doesnt kill mutates tries 2022 #omicron	o	1
vaccine shot time change false narrative	a	0
ca doing relatively 64 vaccinated hell people	p	1
uk extends boosters adults announcing omicron	m	0
#genocidegames#limengyan#yanlimeng stand fight guo wengui bannon yan limeng luther rumored covid19 originated asia scientific basis #yanlimeng	g	0
agonizing threads deaths family victims culture antiknowledge killing people covid19 vaccinated	p	-1
ramaphosa visitomicron virologists fg lists delegates testing day	g	0
looks covid issues team #sicscore headed opposite directions	o	0
frightening potential explanation vaccinedriven myocarditis alex berenson unreported truths@jamesdelingpole	a	0
dose blunt #truth #covid #racism moment	o	0
thanksgiving yall #lockdown #adultblogger #amas #bangbros #bbcqt #crypto #promote #sellingcontent #contentcreators #slurp #wap #paypal #trending #cashapp #onlyfanspromo #viral #twitch #anal #creamy	o	0
staff music core tested positive covid 19 yesterday	o	-1
free speechnot ukwhy criminal charges yetis legal friends donors rich pandemic	g	0
belgium seeks curb social life fight 4th covid19	m	0
trust extended family havent vaccinated means arent bad people arent people dont love theyre choosing wrong choice due misinformation political bs	p	1
guidelinessafety procedures uber control airborne covidwindow procedures clearing air postride	m	0
13 people test positive variant netherlands 61 people recently arrived netherlands flights south africa 13 tested positive omicron coronavirus variant	o	0
agree dr lasalle actually incredibly helpful book vaccine hesitancy read months ago info	s	1
amazing coincidence lockdown septictanks	o	0
symptomatic covid19 testing free readily accessible ontarians belong drug stores sign petition calling doug ford pharmarcies safe #onpoli via	m	0
thats antivaxxers contracted covid died ive seen facebook rants followed condolense notes relatives	p	-1
liefake omicron variant destroying airline	m	-1
covid variants primary reasons try stop spread saying familiar help protect covid prevent sickness deaths try stop covid mutating creating variants	o	0
vaccinated people enter country #donotcomply #novaccinepassports	m	-1
omicron variant	o	1
civil services covid relief#upscextraattempt	m	0
stand omicron	o	1
covid type chronic fatigue syndrome term chronic fatigue syndrome apply sorts especially locked	s	0
people stopping listening advice governments track record failures covid brought theyve lost control	g	-1
hey dumbass satire page isnt real headline misinformation arguable covid misinformation	o	-1
lol 02 chance winning dying covid youre campaigning fundraiser youll illegal syphon	o	0
okay thenbased mixture fear recalcitrance refuse vaccination correct	p	0
coronavirus pandemic world war 3africa african special prayerin name humanity unitedlord humanity unitedone almighty vaccine vs covid19coronavirus pandemic world war 3africa african special prayerin name humanity united	g	1
people dollars short term omicron fomo coming	o	0
omicron variant properly called #xifluroundtwoboogaloo	o	0
sky news stopping comment live growth variant pandemic mental	o	0
10 eswatini 1959 gmt #coronavirus #coronavirusupdate #covid19 #coronaviruspandemic	o	0
market relentlessly bullish conservative estimate ripping hard tuesday wednesday destroy shorts monday mrna novax omicron boosters	m	0
scientists race understand omicron variant	s	0
im intrigued wearing mask shop affects mental health lockdown mask shop surely wear avoid lockdown becoming ill mentally fragile	m	0
dont shit country thee own money reduce spread omicron	g	-1
south park post covid special	o	1
hate thinking despite double vax masking managed pick covid pass family despite attempts isolate	a	-1
rfk jr completely dismantles covid misinformation narrative euphemism statement departs official government policy engineering destruction democracy worldwide via	g	0
demanding allof vaccinated staff hospitals fired oh wait	m	0
lockdown capital world	g	1
covid schools test onsite christmas	m	0
yeah dont risk argument surely reason vaccinate kids whatever risk covid risk low wasnt worth bother guess	p	0
table except vaccine delta	ov	0
spidex drug cocktail defeat covid variant	s	0
realise reason word omicron sounds ominous sounds unicron planet decepticon voiced orson welles transformers movie	o	1
south africa punished world media houses head integrity shown scientists discovery report covid variant pretentious era live	g	-1
day vaccinated	ov	0
omicronheadquartered deep luray cavernsaccessible buy creepy grandma jam cell cellarscode name applebutter	o	0
uk gov leaning friends stupid statements recall days ago foolish torygraph frontpage az ceo claiming despite ample evidence contrary somehow oxford vaccine pfizer	ov	-1
bs china start paying damage caused economy #covid19 #southafrica	g	-1
btw son waiting months coroners report wifes death covid vaccine process died august wrong england cruel	m	-1
instills panic telling milder form covid	o	-1
covid variant	o	0
covid sufferers using medical cannabis ease symptoms demand rise	s	1
exactly narrative people worrying lockdown meaning introduction vaccine passports seen acceptable middle ground	m	-1
bored am quarantine	m	-1
imagine wear mask vaccine follow rules whims crazy medical experts politiciansthe difference jabbed whats body am lied todo comply	a	-1
weird congress dont prof vaccination enter workplace	g	0
aspirants attempt prior 2020 advantageous position covid warriors demand equity justice #upscextraattempt@pmoindia@doptgoi@smritiirani@amitshah@drjitendrasingh@bjpmahilamorcha#2	o	0
findings underscore possibility delta variant transmission vaccinated individuals healthcare setting despite efficacy vaccines preventing severe disease	s	0
entire gop including key gop governors rooting covid spread create economic biden course blame biden goal	g	0
aids jab	ov	0
holy smokes liberals special lol people variant vaccinated ffs	a	1
bidens african ban designed harder black brown people migrate united disgrace cant shit #omicron #letsgobrandon #fjb	g	-1
real name variant xi omicron	o	0
office national statistics ons data study found individuals age 60 received covid jab twice die unvaxxed study looked deaths causes trend ongoing 6 months study	s	-1
florida death rate covid june	o	0
bored aam quarantine	o	-1
pandemic	o	0
doubt covid 19 variant excuse borders shut longersuch moronhope bites ass#covid19wa #covid19aus	g	-1
reconsider traveling due omicron variant	m	0
read proved sources mrna vaccine	a	0
boosted trusted science vaccine	ov	1
occurred china claim virus started variant coming prove variant discovered heard bots found vaccinated covid iq test	g	1
#newreasonstocelebrate family #covid	o	1
time tell 14 bn people 1 bn 1st vaccination doing 10 mn day bad terms stats developed countries yes virus jumps vaccine entire globe prepared	ov	0
omicron uk people essex nottingham found infected covid variant omicron reports health security agency nations race implement travel bans#omicron #uk #omicronvariant #healthcare	g	0
clinical trial fees	s	0
bottom line people allow democratic government dictatorship lockdowns restrictions matter dangerous covid variant	g	-1
quarantine testing key components testing	m	1
amazing boris johnson doing covid biden ran controlling pandemic	g	1
civil services covid relief #upscextraattempt	m	0
job covid isnt dangerous infectious disease	o	1
bs trump didnt attempt distribute vaccine lost election biden contend magats refusing vaccinated pandemic unvaccinated blame trump fox news oan facebook	g	0
eu blocking covid vaccines third world countries sticking patent principle #covid19	g	0
2 omicron variant identified united kingdom	o	0
symptoms vaccinated	ov	0
add im cares people vaccinated notliterally dont care bitbut lie efficacy preventing death bullshit	ov	-1
bro getting ate jab crazy	ov	1
friend vaccine contacted covid died	a	-1
vaccine rates worldwide rich nations hog jabs allowing variants emerge	g	0
missed flight cologne germanywent book flight planned stop brussels belgiumbrussels goes lockdownfuck life fuck life fuck life	m	-1
barely survived original covid permanent organ damage am immunocompromised combo leaves afraid catch learn live am reframe microexposures boosters	o	-1
banned byelections citing covid borders shut coz covid complaining cost affects directly coz family lives uk	g	-1
omicron spells covid pandemic sort anagram	o	0
hi alice sorry hear youre experiencing difficulties linking proof vaccination service nsw app getting specific error message doing	ov	0
vaccine failurethe vacacinted spreading	a	0
proven natural antibodies covid stay recommending vaccinations boost abs recovered covid	p	0
ambulance delays treble northern ireland battles uks coronavirus rate	m	0
jah nehwe vaccinated force	a	1
day pandemic cook gone overboard committed breads 24 hours help	o	1
1 pox didnt animal reservoirs able eradicated2 180 vaccine eradicate it3 vaccine cross immunity lesser cow pox4 pox exists localised outbreaksbuffoon	ov	0
omicronanagram	o	0
vaccine shorten chances hospitalised variants forming africa etc dont vaccines travel variants formed incorrect europe tougher mask ruling uk getting worse	g	-1
ive heard contrarian types acknowledge actions pandemic effect themselves idea negative externalities systemic risks foreign	o	0
tomorrow vaccinated people enter restaurantsbars etc vaccine passport unvaccinated person enter unless negative lft vaccinated people virus infection free zones test	m	1
covid climate alarmism wokemess social constructs removed reality msm stoking governments elites milking taxpayers taking itpeople wake	g	-1
woman covid warrior covid destroyed aspirations officeprimary caregivers women candidates category vulnerable group#civilservicescovidrelief#upscmahasatyagraha#upscextraattempt #2yearsrelaxation	o	-1
boris johnsons plans safe winterplan apretend covid19 overplan bdither delay reluctantly introduce half arsed measures late blame catching	g	-1
scenario omicron spreads rapidly africa europe north america return international border controls quarantine partially original alpha variants omicron truly transmissible delta aint happening	g	0
omicron world health network solid info evolving situation #omicron #covid	s	1
excuse getting covid	o	1
bruh ppl confuse strand covid name	o	1
arguing shooting fish barrel	o	-1
tomorrow #givingtuesday dont wait donate help continue fight humanewashing prevent pandemic build factory farming reach goal support	o	1
#rt rt #longcovidworkvocational rehabilitation time	o	0
people eventually pfarma jab fauch ouch 3 6 months time rolling dice effects unknownlong term ones	a	0
hiv covid19 pandemic titbits healthhazard filthydishes quickieprostitutewitch matriarch sly marriedbutgay substantiated foodpoker psychiccannibalism games fake china charger blastburns rugs tatters sos	o	-1
health fusion covid symptoms women study	s	0
vaccine means protected leave human live own convictions agree conscience violated 4 served seeing value individual	ov	1
covid booster jab uk book	ov	0
pfizer fda authorize extra doses 16 17 olds wapo sayspfe bntx mrna lly regn gild vir	ov	0
narrative paid petition gatherers qualify people pissed pandemic political operatives opportunity supercharged campaign donor money	g	-1
robert verkerk phd disappear generating mass vaccination using pcr whenever prevalence goes levels clips	s	-1
realize lose vaccine card replaced correct file	ov	0
postpandemic press squad	o	0
id covid pass	m	-1
type global study mask effectiveness covid google pops	s	1
incredibly fair rodgers pandemic level virus favorite	o	0
civil unrest try deep blue lockdown wolf cant 21 days trump fired chance dog killer fauci	g	1
vaccine ready dayswow doesnt look remotely suspicious	ov	-1
guy argument vaccinated couldnt spread covid	a	0
australia records deaths following covid vaccines shots combined 50	a	0
anyways yall promotions idols breathe covid yall reason extreme dont feel talking fans bit practically	o	-1
#omicron variant 1963 movie name weird	o	1
smarty pantsever heard ade antibody dependent enhancement recent quote person invented mrna vaccine vaccine causes virus infectious replicate levels vaccinonlogists worst nightmare	s	-1
ultimate battle evil visions lead survivors specific police enforcing curfews public safety measures pandemic ha thats step stand 202021 unrealistic	m	-1
named comes omicron	o	1
selling pfe tells bio analyst incompetent pfe vaccine antiviral drug	ov	0
remember folksvictorian media allegedly powerful force nsw government harsher lockdown measuresbut sydney media viciously attacking victoria government 18 months dangerous mob streets	g	0
government putting antivax protests outside medical facilities glad kid vaccinated sorry reaf verbally accosted sane rational person	g	-1
internal memo decision owns takes jab describes founderleader ideology	ov	0
test determine omicron variant	o	0
30 variants associated omicron completely overwhelmed dozens deadly variants time canada usa mexico understand dangerous	g	-1
blows argument vaccine mandates vaccine passes water	a	1
carlsbadcagov parks recreation priorities changed covid tell workshops 129 1211 signup online #localgov #parksmakelifebetter #carlsbad #getinvolved #carlsbad #carlsbadvillage #community #carlsb	m	1
okay didnt south africa vaccination rate arent mild symptoms expected	ov	0
covid piece sht look	o	-1
conspiracy theories 40 vaccination rate am vaccinated boosted schools closed breaks heart	m	-1
assume wrong body choice vaccinated care	a	1
trump 100 covidthe didnt jump authoritarian nightmare train world leaders actually cared people unlike fake conservatives britain germany	g	1
york declares covid emergency gov hochul omicron variant coming	m	-1
immunome announces submission investigational drug ind application immbcp01 treatment covid19 via	s	0
vaccine doesnt allege	a	0
story npr news brief omicron variant maxwell trial renowned fashion designer dies	o	0
percentages pretty basic looking low involved seven day average 8 rose 11 takes families catch covid skew figures	s	-1
sad failure imagination root crisis inability perceive terrible wonderfulothers imagine actually building world	o	1
omicron covid rules toughened uk	m	0
york er closes employees refuse comply vaccine mandate	m	0
im nervous covid situation ruin hope	m	-1
headline trying found announced theyll published basically shouldnt detected spread uncontrolled worldwide#omicron	o	1
vaccinated friends family price pay rid huge portion society held source free energy gold economic system theyre gone life finally begins	p	1
this#omicron	o	0
guess covid toe real feel	o	1
click below 1984 study coronavirus using strains 70s people alive immunity current covid	s	0
toys vaccinated serious question	ov	1
90 vaccinated	ov	0
health remains unequal spaces influenced access health resources information pandemic shining spotlight systemic issue	o	-1
cardiac risk 1000x vaccination wouldnt matter listening	a	-1
wouldve told couple ago hooked online game anime doting fur mama dogs cats believed haha quarantine defo changed	o	1
#omicronvariant #covid19 #sheep #government mask worn people trying enforce mask mandates oh im assuming youll ignore picture call foolrightwingertin foil hat	m	-1
mosque massive #vaccination drive 100 slums #hyderabad mosques fullfledged drive achieve 100 saturation vaccination low #covid19 vaccinations vaccination box	m	0
vaccinated bro	p	1
vaccinator details term effects jab informed decision providing consent	ov	1
opinion biased people single parent homes hope arent pushing spiteful forget words trigger lot people covid global tragedy relate single parent homes weird	o	-1
spent 2 bolstering hospitals effectively stay course real shame lockdown post vaccine	m	1
omicron spreads blockchain	o	0
tomorrow government useless travel bans honestly politicians fuck im tired lot theres job happens erin getting caucus vaccinated	g	-1
thanks pandemicera change approach oral arguments supreme court operate breezier pace americans country listen improvements remain	g	1
shut real vaccines approved #covaxin obviously vaccines arent gettin job preferential treatment givin companies approve distribute #covaxin #ocgn	g	-1
people dead covid office office	g	-1
remarks wha special session vaccines save lives prevent infection transmission reach levels vaccination country suppressing transmission remains essential	s	0
soon omicron dangerous studied precaution wise lineage mutations previous variants	s	0
flashback 2016 faucis cohort peter daszak explains scientists perfectly create coronavirus china lab lead global	s	0
people dont live southern hemisphere vit deficient supplement winter months round regardless covid protective covidcheck youtubes vitamin d3 covid 12	s	1
covid danger mosr people jab stop transmission covid minimal threat doesnt stop transmission bring yourself real world	a	0
wouldnt thats life pandemic	o	0
german minister vaccinated infected deadjudging ves received practice feels ramping	g	0
crazy covid finishing appeared travel bans	m	-1
birmingham mail#top #uk scientists explain resistant omicron variant vaccines scientists spoken variant #trendsspy	s	0
cares term short term effect getting covid	ov	0
except jabs reduced infections 1 clinical trials vaccinated pass virus purebloods incidentally im unjabbed immune cant pass	a	0
uk germany italy detect omicron coronavirus variant reuters	g	0
9 deaths woah close country meanwhile months 9300 covid related deaths covid truly fucking cult reprobates abhorrent #donotcomply	g	-1
hey canadathis weekendwho didnt visit flood ravaged bcwho regina shaking hands outbreak covid variantwho spent time ottawawho wasting taxpayer dollars#hypocrite #cdnpoli #bcfloods	o	-1
unfortunately employer allows assholes associate olds classroom shell weekshe covid fingers crossed kiddos ok	m	-1
covid emergency cries hochul encouraging thousands macys parade times square	o	0
trust vaccines trust hospitalscare givers covid fought 11 months ive vaccines booster im infuriated selfishly choose vaccine	p	-1
am mania altogether am mindless moralizing slogans fan mania allowed accompany vaccination canada	ov	-1
am 65 yrs suffer stage 2 congestive heart failure 5 grandkids covid zombie flu die cherish days vaxxed	p	1
mean plan mean proactive mean understanding science history pandemic ontario mean thinking human charge remind ontario doug ford charge doom	g	1
seriously covid seek help underground hospitals killing people standard protocol	o	-1
tired yourself look stupid	o	-1
hey tablet im looking cheap option verifying vaccine passes office dload vaccine pass verifier app	m	0
pfizer available location actually effects booster	ov	1
usual backwards biden told ban evictions anyway confirming scotus correct biden mandated vaccination authority aoc company urging biden ignore rules reconciliation	g	0
covid appeared wasnt saying pushing kinda obvious	o	0
dr fauci reacts covid variant omicron	o	0
foolish democrat followers listeningtrump ban travel various nations onset covid hypocritical biden following suit	g	-1
1 george washington required troops vaccinated smallpox revolutionary war president washington supported draconian mandate forcing citizens bow knee	g	0
commiting genocide jab	a	-1
speaking covid variant dumbass	o	-1
0859 am temp 52cmax 52cmin 34cdewpoint 13cavg wind speed 89kmhswmax gust 130 kmhrain midnight 00mmrain month 146 mmplease research public health advice help stop covid19	s	1
president cyril ramaphosacoronavirus usa bothered stop conspiracy theories thissouth africa alerts world wave 4 omicroncyril named western world allies seek punish south africa alerting mess	g	-1
covid deaths opposed nh countries	g	1
dystopianism defined crisis wastejoe biden voices concern omicron variant spreads	g	-1
trinidad tobago records 720 covid19 21 #covid #pandemic #world #caribbean #vaccine #vaccination #2021	o	0
lot unknownswe #omicron causes severe severe illness escape existing immunity previous voc beta initially concerned scientists spread farmy views	s	0
sage scientist #omicron disaster wonder #cancelled lose twitter account	o	0
covid killed rare snow leopards zoo demand vaccinations eligible animals #care2	o	0
funny hell people sickness isnt covid	o	1
flu vaccine eradicate	ov	0
dan patrick texas republican lieutenant governor assured grandparents willing risk health lives united amid coronavirus pandemic thats patriotism	g	1
covid	o	-1
vaccinesceptic care workers urged jabbed save lives #pembrokeshire	ov	0
position budget country apbn pen covid19 rp74477 trillion onethird budget head regional office directorate treasury papua province burhani media crew thursday#westpapua #papua	g	0
yall smell lockdown coming variant aint happening	m	0
announce vaccine guarantee protection variants failed comprehension school hey	m	-1
sucks quarantine travel restrictions sound public health measures deadly contagious diseases course experience virus travels faster news singling countries probably effective	m	1
luck fortunate substantial effects mildly sore arm 3 moderna doses placebo theres hope	p	1
complacent #germany facing bleak 2022 lags uk chancellor warned #brexit #olafscholz #merkel	g	0
determined prolong pandemicvaccine mandates unconstitutional theyve decades involve communist tacticsits staggering stupid	p	-1
refusingremember drill baby drilleverybody jumping oil wagon return investments werent greatthan covid invest domestic oil production throw stock market	o	-1
son 29 ago hooping cough vaccination fine feel pain prayers	ov	1
vax passport isnt proof jabed exemption vax passport hard understand vax messed critical thinking rest covid lemmings	ov	-1
omicron covid19 variant monitored wa sets reopening date mark mcgowan	g	0
desperation hold onto belief covid deadly luck youll majority people bull lies fear mongering means whatever floats boat guess	o	-1
researchers determine vaccination regimens twist arms hard politically feasible people stop	p	0
vaccinated people die 2 yearsnobel peace prize winner virologist luc montagnier confirmed chance survival people received form vaccine	ov	-1
devils detail vaccinated defined jab jab 2 weeks havent elapsed months ago	ov	-1
strongly suggest live bexley sidcup constituency vote elect richard tice thursday loud vocal opposition parliament future ridiculous covid measures following party whip	g	1
am shopping cause fear lockdown return listen	o	0
love solar powered microchips vaccine inside body completely unexposed sunlight mmm yummy	ov	0
th africa #as complained punished instead applauded discovering omicron concerning variant covid19	g	0
government teat business run business aware due lack supports latter covid	g	-1
hello omg vaccine sp log fcukd	ov	-1
yeah id real life pictures bacteria shown graphics enhanced real pictures covid variants	o	0
people call trump racist banned travel chinabut chinese nationals else travel china start pandemic	g	1
whatever theyre told daddy governmentthis projectiontrump daddy governmentfew people vaccinated told vaccinated considered scientific evidence decided themselves	g	0
confidential ocgn #covaxin 9000000th time happening behindthescenes	o	0
consistently demands covid action else acting themselveswe vaccine mandates serious push towards vaccination rates third doses measures provincial responsibilities jurisdiction act	p	1
booster jab cancelled	a	0
happening prior pandemic rushed middle specifically future little sooner expected	o	0
son covid vaccine scheduled walgreens received confirmation email yesterday drove hour round trip told pharmacy closed weekends reschedule incredibly frustrating	p	-1
omicron reason concerned de gascun	s	0
solo belle notizie thanks #covid #covid19	o	1
oh yes cdc analysis doctored covid deniers trump admin supports argument	g	-1
wake qld vaccinated travellers allowed sanot steady flow covid casesvaccination stop transmission whats vaccine passportsthey offer protection#auspol	a	-1
fck covid	o	-1
condolences families loved ones friends communities 41 people lost covid19 absence deeply	o	1
am signing lifetime booster shots undisclosed ingredients undisclosed manufacturing process pharma zero liability jab injures kills costly follow care heart free shot	a	-1
virus talking media thats agree talking covid 19 998 survival ratei people covid people survived	p	0
omg mean complete lockdown	m	0
fda authorizes covid boosters adults mdedge internal medicine	g	0
delta variant suddenly names line skipped omicron acceleration naming variants jumped agenda accelerated	ov	0
covid related air sand look record border crossings illegals maybe look commenting fyi covid 19 doesnt exist produce 1 1 truth isolation source cant	g	0
vaccinated	ov	0
transmission potential vaccinated unvaccinated persons infected sarscov2 delta variant federal prison julyaugust 2021	ov	0
pfizer jab time tweet mckeith looks bollocks	ov	-1
#thailand recorded 6073 #covid19 32 deaths saturday	g	-1
officials briefed pm modi variant concern #omicron characteristics impact seen various countries implications india discussed pm spoke proactive light variant pmo #omicronvariant	g	0
