,tweet,topic,sentiment
16,"@BBCBreakfast Reggae Walk of Fame at the #Trelawny #Stadium #Falmouth is now Covid19 compliant as an #JTB LICENCED Attraction. Cruise compliant TBA, Reggae 4-20-2022.  18764358401 4049104463 Reggaeinthesun@gmail.com Sponsorship partners welcome. Tell a friend. Seen?love",,
17,"The Edge Markets MY: AstraZeneca examining impact of new Covid-19 variant on vaccine, antibody cocktail.https://t.co/snBOAcoxRgvia @GoogleNews",,
18,Spain bans non-vaccinated Britons as Israel shuts borders to all visitors https://t.co/JQvBWEB1dQ,,
19,@_Elfindale @GumdropGiggles Euuurghhh 😬 I’ll admit that was a big concern of mine. I have many ❤️ folks there but the vibe re Covid isn’t for me.,,
20,@mehucpsucks That's likely not only related to COVID.,,
21,"This is the first ever pandemic with multiple waves spanning several years.Even the Spanish flu one had only two waves. People then were smarter, stopped falling for the waves after two.",,
22,@BTStranslation_ they've been trying to meet every ARMYs but things just don't go their way due to the pandemic 💔,,
23,@Mozammi54863733 @NBCLA Or you could get vaccinated?,,
24,I swear anti vaxxers think the best way to handle this pandemic is to let everyone get sick but here's the thing most of the billionaires &amp; politicians are already vaccinated even if they wont admit it &amp; you dying does them a favor,,
25,NSW Health changes advice for travellers from southern Africa in response to new COVID-19 variant - ABC News https://t.co/m67B26XGnF,,
26,COVID-19 Vaccine Ingredients https://t.co/D2Xpah2GpT,,
27,"When Russia was ruled by Cathrine the Great a smallpox pandemic broke out. She got herself inoculated, a new technology at the time, to lead by example. She then made inoculation available across the entire country. This is how leaders should lead. Not by force.",,
28,"Thanks to @UWMedicine , I am scheduled to receive my #Moderna booster shot this Saturday 🙏🏼",,
29,"Another 5,854 people are reported infected with COVID-19 today in Thailand.#COVID19 #ThaiPBSWorld https://t.co/WWjJy716CI",,
30,"Gory.Anyway, I have a genuine question for any medics.If the person has had covid and has developed somewhat of an immunity, why is it necessary they must vaccinate?Isn't natural immunity more desirable? https://t.co/T6s36GxyDm",,
31,@Ambarseriya Very this looks like a bad variant n is vaccine resistant thats scary,,
32,@SharylAttkisson More death after the vaccine ? Are you sure about that 🤦🏼‍♀️ I wish people got their facts right for once!,,
33,"I was listening to NY radio the other day. My Jeep only gets AM stations. They had a story about the Omicron variant. The guy kept pronouncing it with a Spanish accent.  Like, ""oh-me-Crohn'"" with a rolled R. It's Greek.  Omicron. Just like it looks.  Oh'-mi-crahn.",,
34,@FourWinns298 Kids develop a filter and expectations. Let's ask kids how to end the pandemic because a lot of adults are screwing things up. Waiting for sea change.,,
35,@stapapool @quinncy bc buying a house or a car is EXACTLY the same as researching a vaccine.,,
36,"@loneknight5 @StormingB81 As life does. I’m originally from Edmonton, also a very cold place 😊, have tons of family there and was planning to visit, then COVID happened. Life. 🤷‍♀️",,
37,The Omicron variant symptoms to look out for https://t.co/hZZq3YOBoX https://t.co/PQ0nqRz6d7,,
38,ICYMI: Politico: Gov. Cuomo wasn't a good pandemic leader and his daily 'Cuomo show' was management by press conference https://t.co/mEVTkKOEq1 #news #Election2020,,
39,@DrJBhattacharya It also took ~200 years to achieve vaccine-induced eradication. But this whiny little boy wants it done in less than 2 years. @kenklippenstein https://t.co/Er9ncLsRuF,,
40,Valneva vaccines cancelled by UK just TWO MONTHS ago could be key to beating Omicron strain https://t.co/Y6PMnunzBF,,
41,postpone the elections to the 5 states by an year or so if India has to fight the omicron virus effectively,,
42,#COVID19 #Covid_19Confirmed #Omicron cases in Europe;Austria ✅ 1Belgium ✅ 1Czech Republic ✅ 1Denmark ✅ 2England ✅ 3Germany ✅ 3Israel ✅ 1Italy ✅ 1Netherlands ✅ 14Portugal ✅ 13Scotland ✅ 6#gettested #GetVaccinated #GetVaccinatedNow,,
43,"3:59 PM temp 4.2c,max 6.0c,min 2.9c,Dewpoint -2.0c,Avg wind speed 8.3kmh,NNE,max gust 62.9 kmh,Rain since midnight  0.0mm,Rain this month so far 14.6 mm-Please research public health advice to help stop Covid19",,
44,@Nezolif @disclosetv Looool. The variant came from fully vaccinated folk. https://t.co/JWpyWyTcwC,,
45,"@dehoffinator @_davidlimbrick @tasdionisakos Life's wonderful actually, most places ignore discrimination &amp; agree having a vaccine always has &amp; always will create an antibody response in the person getting the vax, &amp; do nothing for your neighbour, partner or anyone else. Good luck with your never ending boosters. MSM UK 👇 https://t.co/zdDyixKr3N",,
46,"New coronavirus variant Omicron keeps spreading, Australia detects cases - Reuters Australia https://t.co/oOMQ1TYWBg",,
47,pre- covid in 2019 oh for a time machine. #llanelli #bikers #foryourpage #fyp #foryoupage #summer https://t.co/dWqNSuYU84,,
48,#DrLimengYan #YanReport#OriginofCOVID19 #COVID19 #CCP #CCPVirus #Omicron #HoldCCPaccountable #China #Wuhan #WIV #AMMS #SARS_CoV_2 #Gain_of_Function#DeltaVariant #ZC45 #ZXC21#生物安全学 #当代基因武器#UnrestrictedBioweapon#非典非自然起源病毒基因武器CCPVirus Daily Tracking https://t.co/yjGIYF2cBF,,
49,Independent retailers look to Small Business Saturday to recoup sales after pandemic https://t.co/3kg4GTbm1V,,
50,"@yolandebouka @maudlynei Denial.Was it fact that Wuhan, China was the origin of the entire #COVID outbreak?Or are facts now too politically incorrect to dare be said?",,
51,@Dr_D_Robertson I don't think it's helpful to say they're at risk of the Omicron variant. They're at risk of covid.. simple. And that's the way it'll always be,,
52,@PrimaryHead2020 One positive from covid is that primary school doesn’t do moving between classes for maths and English any more.,,
53,"@MrZackMorris Sorry to hear that my friend, bullish covid plays $ahpi helps you breathe, $nls 30 percent short home gym known as #bowflex $smed removal of PPE and needles and $wtrh food delivery 150 million market cap over 20 percent short, @MorganStanley just bought 12 million shares",,
54,why tf is stalking one guy so hard? I've been trying to stalk him since covid and i havent gotten any luck💔ITS LIKE HE VANISHED OFF OF THE FACE OF THE EARTH?,,
55,@Melusi_MD @M_of_starlight Not soon enough. But I also find it appalling that @Twitter DO NOT have an immediate way to report COVID misinformation. The report tweet function doesn't cut it. Fume.,,
56,"@cscviews @LindaMelisande The reality we all have to face is our Govs have abandoned elimination strategy of #COVID19 in Aus. Eventually most of us will catch Covid simply bc we are opening up, people will move around, allowing Covid to spread. It's a false narrative to think unvaccinated are to blame.",,
57,So let me get this straight? Even though I’m double vaccinated I still have to self isolate if I come in to contact with the new strain… so someone answer me this. How do I know what flavour covid people might have!? 🤦🏼‍♀️ #kissmyvariant #imsooverthis,,
58,"@BillSpadea my daughters teacher who is so scared of covid and told class she couldn’t wait to vaccinate her 10 yr old and would yell at the students if they pulled down their masks, has 2 shots and the booster, just called out bc she has Covid!! Um, hello anyone home? 🤦🏻‍♀️",,
59,@spoonmoonjune @OrcaBC101 I truly hope it helps. If you’re not super familiar with the apps please feel free to DM me. I have had to get really familiar with their new versions past few months. Used them before often but now they are kinda mucky with covid. Please feel free to DM me if you have questions.,,
60,"Tribute to my dear friend Justin Clifford, whom passed on 11/26/21 after a battle with #COVID #RIP https://t.co/yR5EeYKvz9",,
61,@SeanGoss31 I’m definitely not taking that shit. I’ll be dead before a jab touches me. GUARANTEED!,,
62,When you understand that there was no intention to promote vaccination any adjustments needed to continuing to not do it are a piece of cake. https://t.co/bWsuMxZKDI,,
63,"In practical terms, how would they even enforce a vaccine mandate? We can't even enforce laws that everyone agree on.",,
64,"@Chris_Liss Haha same. Had cancer removed 3/11/20. I personally don’t care anymore except my wife is the opposite unfortunately. My question to her is, at what point do folks like her move forward with their lives? It’s depressing. Covid not going anywhere anytime soon.Need2move forward.",,
65,yes you can still get covid with the vaccine but at least you probably won’t get deep throated by an air tube,,
66,"""Tea is the elixir of life"" [Eisai, Kissa Yojoki]#teaquote #lifequote #15percentoff #thanksgivingday #greentea #herbaltea #unitedstates #wordwide #Amazon #superstore #Nearby #alvitatea #alvitablog #organictea #COVID19 #healthbenefits #teaquotesOrder Now! https://t.co/AOd7XZMbNB https://t.co/otRpYj8ImE",,
67,"@disclosetv The new variant # B11259 is ""possibly"" 500% more infectious than #Beta and #Delta.  Also, #Omicron has more than 2 times the number of bad peak mutations than #Delta. https://t.co/VkKC1m4ZLu",,
68,@LesJohnsonHrvat @chrispydog I don't follow.  I've been vaccinated.  I hope everyone I encounter is too.,,
69,@DanWarp how often do you find yourself staring at your own feet because nobody like anymore #NoWayHome #BallonDor #OmicronVariant #LISA #SpiderManNowWayHome #Omicron #NZvsIND #COVIDIOTS #CyberMonday #Turbulence #INDvsNZTestSeries #PorshasFamilyMatters #JUNGKOOK #TexasAbortionBan,,
70,in the air Israel to close borders to all foreigners due to omicron variant,,
71,3 COVID 19 Facts Fact Check (By Jabba Shopping) #Shorts https://t.co/zeGJcLYFEJ via @YouTube #COVID19Facts #CoronavirusFacts #COVID19Facts&amp;Figures,,
72,@7NewsMelbourne @BlakeJohnson So glad we have those purpose built #LNP quarantine facilities for situations like this. Makes it so much easier for states/territories to protect their citizens and minimise disruption to that ‘freedom’ that #SneakyScott promised. #LNPfail #MorrisonFail #Omicron,,
73,Saskatchewan health officials reported four new deaths related to COVID-19 on Sunday.There were two deaths reported in Saskatoon along with single deaths in the North West zone and Central East zone.https://t.co/6VpIQTZeuk https://t.co/bventyJdNI,,
74,"@riddell_drew @APFromNY @ABC “99% survival rate” it’s funny how that 1% are antivaxers and those who want COVID than to get out of this mess, but ok man. See you at your funeral. Or actually you won’t see me https://t.co/qQdcTO3V8A",,
75,"@LeaderMcConnell You can buy &amp; bribe That redhead you keep time with up behind the wife's back,but  you can't buy your place in history.Covid19 will always be a Republican catastrophe,as Trump downplayed its severity calling it harmless now Republicans are laughing at the variant",,
76,@DrMendalias This is not funny. How dare you put up a fake story such as this. What is the matter with you obviously the vaccine has affected your brain and your ability to think clearly.,,
77,Omicron Variant? More like... https://t.co/RrB6Bv2KsC,,
78,"@HSELive  HSE seem to have forgotten about the people who got the Janssen I shot , some are now 5 months after receiving it,HSE recommend that you get the booster dose 3 months after receiving Janssen , why are you not facilitating this .Here in black and white .#twin https://t.co/Xz0Q1KRw1v",,
79,@Rothbard1776 Yes they are why because even if you got vaccinated you're catching the virus and go to spread it so it has a chance to mutate in you more likely going to mutate in the vaccinated,,
80,"#doge season is coming. 1000x moon for #DartInu- cmc, gecko, cex listing soon- low mc, lock 1 year- strong roadmap- #DART Play to Earn- 1 day old #BSC: 0x49152dd96be5a710facf9a8ab7de4343a49186d5#Meta #dogecoin #Omicron #FLOKI #babydoge #MANA  #SHIB  #BSCGems #NFTs",,
81,@Cass33836415 @POTUS https://t.co/LhDF6boZCE  most severe pandemic in recent history.....Many in power want more power they do not care if what said and actions are hypocritical. In DC many see their voters as mindless drones...Pelosi said as much a glass of water could win in her district,,
82,"@SusanCarland We are, in vast numbers. The Pacific countries with low vaccination rates are in that position because of failures in logistics and in combating hesitancy (which Australia should help with, but is difficult), not a lack of doses sitting in freezers in Port Moresby",,
83,@Wardalejack @chester_see Omicron Prime does have a good ring to it,,
84,"Dutch find 61 COVID cases among South Africa passengers, testing for new variant - Reuters This is how weak Covid19 has become- 61 people didn’t even know they were infected. S Africa with 20% vaccinated has almost no cases compared to Europe #Variant  https://t.co/3xONIblLKQ",,
85,"So have we restricted flights to Germany, Belgium and the Czech Republic? Just asking for a friend 🙄 #covidvariant #COVID19 https://t.co/XlJASVAudM",,
86,Travel firms scramble to rearrange holidays amid new Covid measures | Coronavirus https://t.co/LnjjkoYOz1,,
87,New Covid Variant Sends Dow To Its Biggest Drop Of 2021 – EuroJournal https://t.co/QbfHaWsVAA,,
88,@wesbury Now we know why the experts pick them ahead of Michigan State. But yes. People aren't afraid of the virus any longer. I can go to a crowded mall and see maybe 30 to 40% mask wearers. The pandemic is over for most folks. They know it is propaganda. Very similar to the flu.,,
89,they dont care how many people they endanger by calling everything “post-pandemic.” these articles make money and make investors happy with predicting big sales so they keep going https://t.co/r4J28tAMAi,,
90,@T17Lil @JamesBarrette My mother in law is an RN. She got hit with severe COVID. My sister in law is also an RN and went over every day pushing supplements and got her up and moving.  She survived.  My SIL is a COVID ICU nurse and said if she went to the hospital she would have died :(,,
91,"FG Directs Civil Servants To Resume, Present COVID Vaccination Cardhttps://t.co/GtqlmrfIOf https://t.co/pluZ7F7tiF",,
92,Kids born in the last two years and after will never know a time before COVID-19 ..that’s so wild to me,,
93,STUPID OMICRON VARIANT WHY YOU HAD TO ARRIVE TO AMERICA WHILE THEY ARE THERE STFU GO AWAY,,
94,"@xtriv5 @eekymom @angrybklynmom I'd honestly bet the VAERS accuracy is a lot higher than the actual rate of COVID caused deaths in the COVID associated deaths total.Still doesn't mean there are more vax deaths or anything; just that the incentives toward accuracy line up much more for the former, IMO.",,
95,"@EvieG18789922 @CodyElijah1 WA state here - I haven’t heard any info from local government or medical providers about treatment, only vax.  No mention of even checking your oxygen at home when sick with covid.  They tell people to just go to ER if they’re having trouble breathing 😳",,
96,@clif_high what if Andreas Noack was right? TEM should be able to answer the question. https://t.co/O4uKGb3v1D,,
97,"No need to panic, at all. Let's have faith in the Vaccine Immunity and the Good Natural Immunity of the people which just won't allow the Omicron to infect them, virulently. New Covid variant shuts borders across globe - Times of India https://t.co/5j6UPUppQv",,
98,@sleightHanded @BostonBedelia @ashishkjha Vaccine reduces infection rate by 5x; it makes it harder to contract the disease.  Vaccine reduces infectious period by 3 -4 days; it makes it harder to transmit the disease.  Vaccine reduces hospitalization and death by 11-20x.,,
99,@vamppixiee Lol. The crap the Pandemic has done to us.,,
100,Who's being squeezed? #MSP #tomatoes #FarmersProtest #loot #inflation #vegetables #India #BJP #governance #finance #demonetization #covid19 #pandemic #cartoon #headlines #newspapers #sellers #bazaar #market #ketchup #sauce #red #humour #haha https://t.co/OPCAs39GtO,,
101,"@PeterWallaceAU In the $2.4 billion fraud settlement against Pfizer(2009) there were many many doctors on the take.  That's usually how it goes. Conferences in exotic places, presents, a cut in the rewards...",,
102,@AdamPrabata OMICRON=MORONIC 😂,,
103,Omicron is an anagram for Moronic 🤣,,
104,@TheKemi_Y Wetin be Omicron,,
105,"What doesn’t kill you, mutates and tries again. 🦠 2022 #Omicron https://t.co/bf4eznogGf",,
106,@RealPatriot56 @petluver4Trump It’s not a vaccine. It’s just a shot. Time to change the false narrative.,,
107,"CA is doing relatively well, but still only 64% are vaccinated . What the hell, people?  Do it.",,
108,U.K. extends boosters to all adults while announcing two new Omicron cases. https://t.co/XNgFWANgkM,,
109,"#GenocideGames#LiMengYan#YanLiMeng STAND UP, FIGHT BACK! Guo Wengui, Bannon, Yan Limeng and Luther rumored that Covid-19 originated in Asia without scientific basis."" #YanLiMeng https://t.co/ogx9231HvV",,
110,Two agonizing threads about the deaths of family members who were the victims of the culture of anti-knowledge that is killing so many people from COVID-19  who would not get vaccinated. https://t.co/883qnqPVMD,,
111,Ramaphosa visit/Omicron: Virologists differ as FG lists delegates for testing on day twohttps://t.co/HWH16WINJs,,
112,Looks like @Saints and @dallascowboys (COVID issues) team #SICscore headed in opposite directions. https://t.co/yteXjEMmPt,,
113,A frightening new potential explanation for vaccine-driven myocarditis and other problems - by Alex Berenson - Unreported Truths@JamesDelingpole⁩ ⁦@beverleyturner⁩ ⁦@RealDeniseWelch⁩⁩ ⁦⁦@RWMaloneMD⁩ ⁦@GVDBossche⁩  https://t.co/AJNPYilwTB,,
114,"A dose of blunt #truth about #Covid, #racism and his moment we're in. https://t.co/cJiL2IDviJ",,
115,This was thanksgiving yall😫🥰💦 #lockdown #AdultBlogger #AMAs  #bangbros #bbcqt #Crypto #promote #sellingcontent #contentcreators #slurp #wap #PayPal #Trending #cashapp #onlyfanspromo #viral #twitch #anal #creamy https://t.co/h006s1YVea,,
116,@jwoocafee A staff of music core tested positive for covid 19 yesterday :(,,
117,"@TelePolitics Free speech,not in UK.Why are there no criminal charges against him yet,is it legal to make your friends and donors rich in a pandemic.",,
118,Belgium Seeks to Curb Social Life to Fight 4th COVID-19 Wavehttps://t.co/otNGFzsJwi,,
119,@paleselan Trust me. I have some extended family who haven’t been vaccinated at all. They know what that means for someone like me. These aren’t bad people. These aren’t people who don’t love me. But they’re choosing the wrong choice due to misinformation and political b.s.,,
120,"@SlavetoUber @ChipotleTweets What guidelines/safety procedures does Uber have to control airborne covid?Window open procedures, clearing out air post-ride, etc.https://t.co/q4BzpeU0fY",,
121,🔴13 people test positive for new variant in Netherlands ▪️They are part of the 61 people recently arrived in the Netherlands on flights from South Africa . The 13 have tested positive for the new omicron coronavirus variant. https://t.co/xTRsB6Og1I,,
122,@GretchenLasalle @handmadekathy @KatherineJWu @ENirenberg Agree- Dr. LaSalle actually has an incredibly helpful book on vaccine hesitancy. Read it two months ago and still use the info.,,
123,@PaulNuki @chrischirp Yet another amazing coincidence 🤔 for the old lockdown septictanks,,
124,Symptomatic COVID-19 testing should be free and readily accessible to all Ontarians - but it does not belong in drug stores. Sign the petition calling on Doug Ford to keep our pharmarcies safe. #ONPoli https://t.co/uJ0BgfINfr via @leadnowca,,
125,@JesseKellyDC @ShazbuzJames That's what many anti-vaxxers said just before they contracted covid &amp; died. I've seen their facebook rants followed by condolense notes from relatives.,,
126,@cldstonehonest @EricMMatheny It’s just another lie.FAKE OMICRON variant destroying the Airline industryhttps://t.co/9Y1gSeQike,,
127,Covid variants are one of the primary reasons we try to Stop the Spread. You know the saying we are all familiar with now? It is to help protect you and others from Covid and prevent sickness and deaths but it’s also to try and stop Covid from mutating and creating variants.,,
128,@calgaryherald How is that possible? Only vaccinated people can enter the country… #DoNotComply #NoVaccinePassports,,
129,The omicron variant https://t.co/OqGEp0tkvv,,
130,@UpscExtra @DrJitendraSingh @PMOIndia @AmitShah @NidhiTanejaa @frp09 @aajtak @ndtv @NewsIndia24x71 CIVIL SERVICES COVID RELIEF#UPSCExtraAttempt @DoPTGoI @PMOIndia @narendramodi @AmitShah @JPNadda @rajnathsingh @myogiadityanath @swatantrabjp @gssjodhpur @ABVPVoice @bjp4up @drdineshbjp @kpmaurya1,,
131,@MarkChangizi @monsterrit I stand with Omicron.,,
132,Is Long Covid a new type of chronic fatigue syndrome? https://t.co/MLxs8HBCau  like the term chronic fatigue syndrome.  Can apply to all sorts especially when locked down and  up.,,
133,@RichardJMurphy I think they also know that people are stopping listening now to advice.  The government's track record &amp; failures on covid brought this about.  They've lost control.,,
134,"@N_Macca74 @FrancisBoulle Hey dumbass, this is a satire page. This isn’t a real headline, this is just misinformation. Like not even arguable, this is just covid misinformation.",,
135,"@CharlieCrist Lol, you have the same .02% chance of winning as I do of dying from covid. You're campaigning is just a fundraiser that you'll illegal syphon from; just like @aoc &amp; @Ilhan",,
136,"@andycarping @Adam_Penning @_vickitheviking @tomchaplin Okay, then…based on these points, it seems it’s a mixture of fear and recalcitrance for why you refuse vaccination. Is that correct?",,
137,CORONAVIRUS PANDEMIC WORLD WAR 3AFRICA IN ONE AFRICAN SPECIAL PRAYERIN THE NAME OF ONE HUMANITY UNITED!Lord Give To ALL Humanity United!One Almighty Vaccine Vs Covid-19!CORONAVIRUS PANDEMIC WORLD WAR 3AFRICA IN ONE AFRICAN SPECIAL PRAYERIN THE NAME OF ONE HUMANITY UNITED! https://t.co/awouEEhWnr https://t.co/b7IlYqzKxC,,
138,@NFTfinders @BearEatsSalmon $people and some dollars in the short term. Omicron fomo is coming.,,
139,The Omicron variant is properly called the #XiFluRoundTwoBoogaloo.,,
140,And now Sky News are stopping us comment on the live growth of a variant during a pandemic. Mental. https://t.co/XCH3DbDO9e,,
141,10 new cases in Eswatini [19:59 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic,,
142,"@Oahmad433 @Quarry_Rock This market is so relentlessly bullish, my conservative estimate is for it ripping up hard Tuesday or Wednesday. But they they may just destroy the shorts on Monday. Mrna and novax already said they are working on the omicron boosters.",,
143,Scientists Race to Understand Omicron Variant    https://t.co/umQoY3x3AI,,
144,"@ToniaBuxton Also I’m intrigued as to how wearing a mask in a shop affects your mental health? A lockdown I get, but a mask in a shop? Really? Surely better to wear and avoid a lockdown or becoming ill? Are you very mentally fragile?",,
145,"@LauraCummingArt They don't give a shit about the country, just thee own money. So why would they do anything to reduce the spread of Omicron",,
146,The South Park post Covid special is interesting to say the least,,
147,"@doc_griffiths Hate to say it, but thinking the same. Despite double vax, and masking, I still managed to pick up Covid *and* to pass it on to family despite best attempts to isolate.",,
148,"RFK Jr. Completely DISMANTLES the ""Covid Misinformation"" Narrative - ""It's a Euphemism For Any Statement That Departs From Official Government Policy"" - ""They Are Engineering Destruction of Democracy Worldwide"" https://t.co/geT3T7m7EL via @gatewaypundit",,
149,"@AndreasShrugged @ScottAdamsSays This is why we are demanding allof the vaccinated staff at hospitals be fired.  Oh, wait.",,
150,@craigsrex @Andy18512371 @frisky9 @briebritishcat we is!!  The lockdown capital of the world 😼😼😼,,
151,Covid: Schools asked to test on-site after Christmas https://t.co/LvLS5ed1Wy,,
152,@PGriffinFC @DavQuinn Yeah I don't think your risk argument works here @DavQuinn . Surely the only reason *not* to vaccinate kids is because of whatever risk that presents to them? (Or if you thought covid risk was so low it just wasn't worth the bother I guess).,,
153,Everything is on the table except a vaccine that works for Delta. https://t.co/5vZDHyDy0G,,
154,‘SpiDex’ - the drug cocktail that could defeat the new Covid variant https://t.co/1qtYSc3wec,,
155,"You realise the only reason the word Omicron sounds ominous is because it sounds like Unicron, the planet decepticon voiced by Orson Welles in the Transformers movie.",,
156,"South Africa is being punished be the world media houses and head of States, for the integrity shown by it scientists; whose made an early discovery and report the new covid variant as early as they could. This is the pretentious era we live in 🤥",,
157,The way I see this the day after I get fully vaccinated. I--- https://t.co/i0LCx0oBD8,,
158,"Omicron.Headquartered deep within the Luray Caverns.Accessible only buy creepy, grandma jam cell cellars.Code name, Apple-butter. https://t.co/OeKy8dwFdL https://t.co/iJx2mJctRN",,
159,@chrischirp I think UK gov might be leaning on friends to make these stupid statements.  Recall only a few days ago we had the foolish Torygraph frontpage from the AZ CEO claiming (despite ample evidence to the contrary) that somehow the Oxford vaccine was better than Pfizer.,,
160,@Rose_Marie_Holt @richardquest This is BS!! China must start paying for the damage they caused to our economy!! #COVID19 #SouthAfrica,,
161,"@jowbesidethesea BTW. My son has been waiting for months for a coroner's report on his wife's death, which we know was from a COVID vaccine, and until he gets that, he cannot process her will. She died in August. What is wrong with England that it is so cruel?",,
162,@CNNPolitics As he instills panic by not telling everyone it is a milder form of covid,,
163,@liliebayer A new Covid variant,,
164,Long Covid sufferers using medical cannabis to ease symptoms with demand on rise https://t.co/0n2nz5TQeX,,
165,@GBNEWS This is exactly the narrative they want. People worrying over possible lockdown meaning the introduction of vaccine passports will be seen by many to be an acceptable middle ground. It’s not.,,
166,@TonyKhan @njpwglobal @azucarRoc @orangecassidy @AEW @AEWonTNT Are you as  bored as I am  in this quarantine?,,
167,"@CTVNews Imagine you wear a mask, get the vaccine, follow all the rules and here we are, still at the whims of crazy medical ‘experts’ and politicians.The only difference between me and the jabbed is I know what’s in my body and know I am being lied to.DO NOT COMPLY.",,
168,@kylegriffin1 Weird congress members don’t have to show prof of vaccination to enter their workplace,,
169,@M_Lekhi @narendramodi @MoHFW_INDIA @PMOIndia Aspirants who gave their last attempt prior to 2020 were in an advantageous position. COVID warriors demand equity and justice #UPSCExtraAttempt@PMOIndia@DoPTGoI@smritiirani@AmitShah@DrJitendraSingh@BJPMahilaMorcha#2 YEARS RELAXATIONhttps://t.co/iCWwzHVdwt,,
170,"“The present findings underscore the possibility of Delta variant transmission between fully vaccinated individuals in a healthcare setting, despite the high efficacy of vaccines in preventing severe disease.” https://t.co/IAE322ttjy",,
171,"@RadioFreeTom It’s almost like the entire GOP, including key GOP Governors, was rooting for Covid to spread and create economic problems for Biden. OF COURSE they blame Biden. That was their goal.",,
172,@ABC You WILL get the AIDS jab,,
173,@amato_AT @fishontherun @POTUS Holy smokes you liberals are special LOL The four people with the new variant were ALL vaccinated!!!! FFS man!,,
174,"@Acosta So Biden’s African Ban is designed to make it harder for Black &amp; Brown people to migrate to the United States, what a DISGRACE! Can’t make this shit up! #Omicron #LetsGoBrandon #FJB https://t.co/qQqGHhQHmy",,
175,"@MailOnline So the real name of new variant is ""Xi"", not ""Omicron""",,
176,"@LouDobbs Office of National Statistics (ONS) data, the study found that individuals under the age of 60 who have received the Covid jab are twice as likely to die than the unvaxxed. Study looked at deaths from all causes. Trend has been ongoing for 6 months, the study said.",,
177,@losue555 @kylamb8 Florida has the highest death rate from Covid since June. https://t.co/6rLLSj5TdO,,
178,@Megan_Mckenna_ Are you as bored as  I aam  in this quarantine?,,
179,Why are we still in a pandemic….,,
180,@MarkMcGowanMP will no doubt use the new Covid 19 variant as an excuse to keep the borders shut longer.Such a moron.Hope this bites him in the ass.#covid19wa #covid19aus,,
181,Should You Reconsider Traveling Due to the Omicron Variant? https://t.co/fl9IMhZZc4,,
182,@PerryScott6770 @FeedNajee @Vikings @RapSheet Read this. I can proved many other sources. What mRNA vaccine has been used for years?https://t.co/3BgxACsCZz,,
183,GET BOOSTED. You already trusted science and the vaccine. GO! https://t.co/6WZNqR5IvK,,
184,"@Miluveri @KhandaniM @tumisole @Sentletse @SizweLo @UncensoredView1 Has it occurred to anyone that China were they claim the virus started, has not had one variant coming from there 😂 😂 can anyone prove how this new variant was “ discovered “ 😂 i heard in Bots it was found in the vaccinated 😂 covid is an IQ test 😂",,
185,#NewReasonsToCelebrate No one in the family has #COVID,,
